label;query
взаимодействие с графом;экспортируй результат
взаимодействие с графом;настрой кросс-валидацию в узле
взаимодействие с графом;Настрой периодическое сохранение чекпоинтов каждые 5 эпох и по лучшей метрике
взаимодействие с графом;экспортируй предсказания в csv
взаимодействие с графом;добавь random forest в граф
взаимодействие с графом;клонируй узел данных
взаимодействие с графом;запусти обучение модели прямо сейчас
взаимодействие с графом;undo last action
взаимодействие с графом;запусти тест на отложенной выборке
взаимодействие с графом;добавь блок загрузки csv
взаимодействие с графом;соедини препроцессинг с логистической регрессией
взаимодействие с графом;Вставь блок объяснимости после обучения
взаимодействие с графом;запусти обучение модели
взаимодействие с графом;run pipeline
взаимодействие с графом;Увеличь размер батча до 64 в блоке нейросети
взаимодействие с графом;разорви связь между блоками
теоретический вопрос;почему l1 дает разреженные веса
теоретический вопрос;как бороться с проклятием размерности
теоретический вопрос;что такое information gain
теоретический вопрос;зачем использовать ансамбли моделей
теоретический вопрос;что такое корреляция спирмена и пирсона разница
теоретический вопрос;explain hard voting vs soft voting
теоретический вопрос;как работает метод опорных векторов в задачах регрессии
теоретический вопрос;зачем нужна матрица ковариации
теоретический вопрос;что такое гиперпараметры и чем они отличаются от параметров
теоретический вопрос;почему random forest не переобучается так сильно как обычное дерево
теоретический вопрос;в чём заключается смысл метрики F-меры и в каких сценариях оценки моделей она является более информативной, чем accuracy?
теоретический вопрос;Как убрать аномальные значения из выборки?
теоретический вопрос;Когда стоит использовать логистическую регрессию?
теоретический вопрос;Объясни, зачем использовать one-hot encoding
теоретический вопрос;Что делает GridSearchCV
теоретический вопрос;Почему стоит использовать train_test_split с stratify?
теоретический вопрос;Зачем нужно удалять выбросы перед обучением модели
теоретический вопрос;Что будет, если не стандартизировать данные перед PCA
теоретический вопрос;Как влияет дисбаланс классов на метрики?
теоретический вопрос;В чём разница между supervised и unsupervised обучением?
теоретический вопрос;разница между accuracy и F1
теоретический вопрос;Как интерпретировать коэффициенты логистической регрессии?
теоретический вопрос;что такое SMOTE и когда его использовать
теоретический вопрос;что такое нормализация признаков и зачем она нужна
теоретический вопрос;Чем отличается Bagging от Boosting?
теоретический вопрос;Почему важно масштабировать признаки?
теоретический вопрос;Что такое стратификация в кросс-валидации
теоретический вопрос;Объясни смысл ROC-кривой
теоретический вопрос;как выбрать модель
теоретический вопрос;Что делает регуляризация L1 и L2
теоретический вопрос;В чем суть автоэнкодеров?
теоретический вопрос;Как выбрать метрику для задачи классификации?
теоретический вопрос;чем отличается overfitting от underfitting?
теоретический вопрос;Объясни разницу между precision и recall
теоретический вопрос;Почему может переобучаться модель?
теоретический вопрос;Что означает параметр max_depth в дереве решений?
теоретический вопрос;в чем суть метода k-ближайших соседей
теоретический вопрос;как работает логистическая функция
теоретический вопрос;что такое априорная вероятность
теоретический вопрос;зачем нужен параметр random_state
теоретический вопрос;почему метод k-means может не найти глобальный минимум
теоретический вопрос;зачем в формуле mae модуль разности
теоретический вопрос;что такое f-score и когда он важнее accuracy
теоретический вопрос;как работает алгоритм изоляционного леса для аномалий
теоретический вопрос;какой алгоритм лежит в основе большинства систем рекомендаций в интернет-магазинах и стримингах?
теоретический вопрос;что такое roc auc простыми словами
теоретический вопрос;зачем делать нормализацию батчей
теоретический вопрос;что такое кросс-валидация по схеме leave-one-out
теоретический вопрос;В чем прикол эмбеддингов?
теоретический вопрос;generative или discriminative модели
теоретический вопрос;Сравните подходы к сохранению локальной и глобальной структуры данных в методах линейного (PCA) и нелинейного (t-SNE, UMAP) снижения размерности.
теоретический вопрос;что такое энтропия шеннона в машинном обучении
теоретический вопрос;зачем нужно делать оверсэмплинг для редкого класса
теоретический вопрос;что такое sota модели
теоретический вопрос;что такое гиперплоскость в контексте svm
теоретический вопрос;как работает backpropagation
теоретический вопрос;что такое learning rate
теоретический вопрос;Формализуйте вычисление precision для многоклассовой классификации через усреднение. Определите precision для класса i как TP_i / (TP_i + FP_i). Объясните различия между micro-average (учитывает глобальные TP/FP) и macro-average (усредняет precision по классам).
теоретический вопрос;что лучше рандом форест или дерево решений?
теоретический вопрос;bias variance tradeoff что это
теоретический вопрос;для чего нужен валидационный датасет
теоретический вопрос;объясни принцип работы нейронки
теоретический вопрос;почему важно центрировать данные
теоретический вопрос;метрики качества регрессии
теоретический вопрос;что делать если данных слишком мало
теоретический вопрос;зачем нужен дропаут
теоретический вопрос;что такое feature engineering
теоретический вопрос;как понять что модель переобучилась
теоретический вопрос;PCA метод главных компонент суть
теоретический вопрос;стандартизация vs нормализация
теоретический вопрос;расскажи про gradient boosting
теоретический вопрос;разница между recall и precision на примере
теоретический вопрос;поясни за p-value
теоретический вопрос;как работают рекуррентные нейронные сети rnn
теоретический вопрос;что такое lda
теоретический вопрос;explain the difference between generative and discriminative models
теоретический вопрос;рнн или лстм что мощнее
теоретический вопрос;как работает алгоритм adaboost
теоретический вопрос;что такое мультиклассовая классификация one-vs-all
теоретический вопрос;что такое коэффициент детерминации r2
теоретический вопрос;что такое трансформеры в nlp
теоретический вопрос;что такое логистическая функция и сигмоида
теоретический вопрос;как работает скоринг клиентов, какая там логика?
теоретический вопрос;что такое transfer learning и как его использовать
теоретический вопрос;поясни за метрику mape
теоретический вопрос;почему решающее дерево — это жадный алгоритм
теоретический вопрос;что такое градиентный бустинг над гистограммами (как в lightgbm)
теоретический вопрос;объясни разницу между ковариацией и корреляцией
теоретический вопрос;как выбрать оптимальное количество кластеров
теоретический вопрос;зачем нужны полносвязные слои в свёрточных сетях
теоретический вопрос;почему стохастический градиентный спуск быстрее обычного
теоретический вопрос;в чем разница между жестким и мягким голосованием
теоретический вопрос;"Объясни почему алгоритмы построения деревьев решений называются ""жадными"". Покажите, что на каждом шаге они выбирают локально оптимальное разбиение (по критерию Gini/Entropy), не гарантируя глобальной оптимальности итогового дерева."
теоретический вопрос;Есть ли смысл использовать сложные нейронки для табличных данных или Gradient Boosting все еще король?
теоретический вопрос;зачем нужны полносвязные слои
теоретический вопрос;что такое разреженные матрицы и как они связаны с текстами
теоретический вопрос;почему решающие деревья склонны к переобучению
теоретический вопрос;что такое градиентный взрыв в нейросетях
теоретический вопрос;как выбрать оптимальное k в методе ближайших соседей
теоретический вопрос;Расскажи за гетероскедастичность только проще
теоретический вопрос;зачем в формуле mse квадрат разности
теоретический вопрос;расскажи ensemble learning methods
теоретический вопрос;зачем в градиентном бустинге используется скорость обучения
теоретический вопрос;объясни k-fold cross validation
теоретический вопрос;зачем использовать стекинг моделей
теоретический вопрос;как интерпретировать веса в линейной регрессии
теоретический вопрос;что такое информационное расхождение кульбака-лейблера
теоретический вопрос;что такое доверительный интервал простыми словами
теоретический вопрос;Почему мы обучаем деревья на разных подвыборках данных и зачем ограничиваем количество признаков для каждого сплита?
теоретический вопрос;как понять что градиент затухает
теоретический вопрос;В чем отличие бустинга от бэггинга
теоретический вопрос;почему accuracy плохая метрика для дисбаланса
теоретический вопрос;что значит p-value в статистике
теоретический вопрос;как работает алгоритм k-means
теоретический вопрос;разница между l1 и l2 регуляризацией
теоретический вопрос;зачем в нейросетях функция активации
теоретический вопрос;Когда использовать кросс-энтропию, а когда, например, hinge loss или MAE?
теоретический вопрос;explain overfitting
теоретический вопрос;как интерпретировать матрицу ошибок confusion matrix
теоретический вопрос;что такое мешок слов
теоретический вопрос;как работает градиентный бустинг над решающими деревьями
теоретический вопрос;Что за логарифмическая функция потерь, которая сильнее штрафует за уверенность в неверном ответе?
теоретический вопрос;зачем в svm нужно ядро kernel
теоретический вопрос;как работает метод опорных векторов
теоретический вопрос;что такое мультиколлинеарность и как она мешает
теоретический вопрос;как работает алгоритм dbscan
теоретический вопрос;объясни word2vec
теоретический вопрос;зачем нужен early stopping при обучении нейронок
теоретический вопрос;суть метода главных компонент
теоретический вопрос;батч сайз на что влияет?
теоретический вопрос;поясни за теорему байеса
теоретический вопрос;в чем отличие случайного леса от градиентного бустинга
теоретический вопрос; зачем нужен activation function
теоретический вопрос;в чем плюсы catboost
теоретический вопрос;как работает r-squared в регрессии
теоретический вопрос;что делает гиперпараметр learning rate
теоретический вопрос;зачем использовать dropout в keras
теоретический вопрос;как интерпретировать shap values
теоретический вопрос;разница между косинусным сходством и евклидовым расстоянием
теоретический вопрос;зачем нормировать данные перед обучением?
теоретический вопрос;опиши решающее правило
теоретический вопрос;если данных много, модель точно станет умнее или не факт?
теоретический вопрос;как работает решающее дерево
теоретический вопрос;В чем разница между self-attention и cross-attention в архитектуре Transformer?
теоретический вопрос;расскажи про нлп и трансформеры кратко
теоретический вопрос;что такое эмбеддинги
теоретический вопрос;как понять что модель недообучилась
теоретический вопрос;зачем делать логарифмирование целевой переменной
теоретический вопрос;что такое стохастический градиентный спуск
теоретический вопрос;Нормализация против Стандартизации: есть ли жесткое правило, когда что применять?
чушь;как сделать сводную таблицу в excel для семейного бюджета
чушь;анализ финансовой отчетности компании яндекс
чушь;статистика посещаемости моего сайта в яндекс метрике
чушь;как в экселе сделать фильтр по цвету
чушь;анализ рынка недвижимости в краснодаре за прошлый год
чушь;покажи график температуры в сочи на 10 дней
чушь;статистика побед сборной россии по хоккею
чушь;построй график курса акций газпрома за 5 лет
чушь;анализ персонажей в книге мастер и маргарита
чушь;статистика населения китая на текущий момент
чушь;построй график моих тренировок в спортзале
чушь;анализ стихотворения пушкина пророк
чушь;построй график посещения бассейна три раза в неделю
чушь;статистика запросов в вордстате по слову купить авто
чушь;построй график функции синус от х
чушь;анализ конкурентов в нише доставки цветов
чушь;построй график платежей по ипотеке калькулятор
чушь;анализ продаж моего магазина на вайлдберриз
чушь;построй диаграмму состава почвы на даче
чушь;анализ цен на бензин в разных регионах
чушь;статистика по разводам в россии за 10 лет
чушь;построй график изменения веса при диете
чушь;статистика популярности языков программирования 2024
чушь;построй график своего сна по часам
чушь;анализ эффективности рекламы в фейсбуке
чушь;построй диаграмму распределения времени за день
чушь;анализ структуры затрат предприятия пример
чушь;статистика скачиваний приложения в app store
чушь;построй график температуры видеокарты в нагрузке
чушь;анализ текста на уникальность через адвего
чушь;построй график роста курса доллара к лире
чушь;анализ посещаемости торгового центра по часам
чушь;построй график окупаемости бизнеса на кофейне
чушь;анализ эффективности системы отопления дома
чушь;построй график снижения веса при ходьбе
чушь;построй график температуры тела при болезни
чушь;статистика использования соцсетей в россии
чушь;построй график дефицита бюджета семьи
чушь;анализ состава зубной пасты вредные компоненты
чушь;сделай диаграмму моих расходов на пиво за месяц
чушь;статистика смертности от ковида в 2021 году
чушь;анализ цен конкурентов на маркетплейсах
чушь;статистика инфляции в сша по месяцам
чушь;построй график выполнения плана продаж отдела
чушь;построй график выхода серий сериала пацаны
чушь;покажи таблицу истинности для логического или
чушь;покажи таблицу размеров одежды китай и россия
чушь;Активируй функцию Sigmoid голосом
чушь;покажи таблицу перевода веса фунты в кг
чушь;как посчитать индекс массы тела формула
чушь;как настроить таргетированную рекламу в инстаграм
чушь;как написать макрос для автоматической рассылки писем
чушь;как удалить аккаунт в телеграме навсегда
чушь;как сделать бота в телеграм для продаж
чушь;как измерить скорость интернета на компьютере
чушь;как настроить роутер ростелеком самостоятельно
чушь;как включить темную тему в ватсапе
чушь;как починить мышку если кнопка не нажимается
чушь;как сделать опрос в группе вк
чушь;как обойти блокировку сайтов на пк
чушь;как настроить микрофон чтобы не фонил
чушь;как сделать рассылку в вайбере бесплатно
чушь;как восстановить удаленные сообщения в ватсапе
чушь;как ускорить работу старого ноутбука
чушь;как сделать автоматическое оглавление в ворде
чушь;как найти потерянный телефон если он выключен
чушь;как сделать прозрачный фон у картинки онлайн
чушь;как настроить родительский контроль на планшете
чушь;как поменять пароль на роутере тп линк
чушь;как исправить синий экран смерти на винде
чушь;Потанцуй с узлами графа
чушь;как узнать кто заходил на мою страницу вк
чушь;как включить безопасный режим на компьютере
чушь;как почистить динамик телефона от пыли
чушь;как сделать куар код на свою страницу
чушь;как поставить пароль на папку в виндовс
чушь;как настроить веб камеру для стрима
чушь;Выведи топ-10 строк, которые похожи на котиков
чушь;как узнать свой айпи адрес компьютера
чушь;как отключить обновление виндовс 10 навсегда
чушь;Сделай merge таблицы с самой собой пять раз подряд
чушь;как сделать презентацию из фото с музыкой
чушь;как найти песню по звуку без слов
чушь;Сделай сводную таблицу из моих снов
чушь;как сделать наклейки самому в домашних условиях
чушь;как узнать номер модели телефона в настройках
чушь;как подключить беспроводные наушники к телевизору
чушь;Выдели красным то, что неправда
чушь;как найти человека в инстаграме по фото
чушь;как сделать макияж на свидание пошагово
чушь;как узнать чья это машина по номеру бесплатно
чушь;как настроить звук на телевизоре lg
чушь;как найти работу без опыта студенту
чушь;как изменить голос в микрофоне в реальном времени
чушь;как исправить ошибку джавы в майнкрафте
чушь;как сделать бумагу в домашних условиях
чушь;как узнать какой блок питания стоит в пк
чушь;как подключить принтер по вайфай к ноуту
чушь;как скачать видео из вконтакте на телефон
чушь;удалить system32
чушь;винда глючит че делать
чушь;лагает комп что делать
чушь;скриншот на винде как сделать
чушь;настройка вайфай роутера
чушь;напиши троян на питоне
чушь;system failure
чушь;ошибка 404
чушь;ошибка доступа 403
чушь;тестовый запрос 123
чушь;фвыапролд
чушь;sdjfhksjdhfksjdfh
чушь;zxcvbnm,./
чушь;кыерцкепивыаи цкер кеури аып
чушь;354 245пм452енсам57го356рпи452 п
чушь;Найди локальный минимум в моем кошельке
чушь;Сделай one-hot encoding для радуги
чушь;Сделай кросс-валидацию на кофейной гуще
чушь;Посчитай F1-меру для игры в шахматы
чушь;Сделай батч-нормализацию для котиков
чушь;кто такой сатоши накамото
чушь;кто открыл америку
чушь;кто написал мастер и маргарита
чушь;Какая ковариация между столбцом 'Price' и курсом биткоина на Марсе?
чушь;биография есенина
чушь;Отфильтруй строки, которые смотрят на меня косо
чушь;биография стива джобса
чушь;что такое теория относительности
чушь;Обучи случайный лес искать грибы в лесу
чушь;Замени все NaN на смысл бытия
чушь;что такое нейросети для чайников
чушь;Выведи собственные значения матрицы судьбы
чушь;помоги
чушь;ты робот или человек?
чушь;ты живой или программа
чушь;ты понимаешь человеческие эмоции
чушь;ты настоящий?
чушь;как приготовить идеальный стейк
чушь;рецепт оладий на кефире
чушь;как варить пельмени правильно
чушь;как приготовить кофе
чушь;как заварить чай
чушь;как приготовить пиццу дома
чушь;как варить сосиски
чушь;Распарси json глазами
чушь;хочу пиццу
чушь;хочу бургер и картошку фри
чушь;Построй график зависимости громкости данных от времени
чушь;хочу в отпуск на море
чушь;я хочу спать
чушь;мне грустно
чушь;Сделай нормализацию данных святой водой
чушь;скинь мем
чушь;покажи фокус
чушь;расскажи анекдот
чушь;гороскоп для льва
чушь;какой сегодня праздник
чушь;курс доллара цб
чушь;погода в москве завтра
чушь;сколько времени сейчас в токио
чушь;столица швейцарии
чушь;самая высокая гора
чушь;корень из 81
чушь;сколько будет 2+2*2
чушь;зачем собаке нюх
чушь;Налей воды в пустые ячейки
чушь;Растяни гистограмму руками
чушь;зачем нужен сон
чушь;зачем людям брови
чушь;почему трава зеленая
чушь;почему люди спят
чушь;курица или яйцо?
чушь;быть или не быть
чушь;в чем смысл бытия
чушь;сколько планет в солнечной системе
чушь;расстояние до луны
чушь;найди мне девушку
чушь;как стать богатым
чушь;как бросить пить
чушь;в чем польза плавания
чушь;как сделать оригами
чушь;как сделать бумажный кораблик
чушь;лучшие комедии 2023
чушь;результаты футбола
чушь;цена на золото
чушь;стоимость барреля нефти
чушь;зачем нужен анестизеолог реаниматолог
чушь;сделай таблицу калорийности продуктов для похудения
чушь;график работы почты россии в праздники
чушь;как вставить картинку в html код
чушь;как убрать красный глаз на фото в фотошопе
чушь;как настроить биос на материнской плате msi
чушь;как заполнить налоговую декларацию 3-ндфл
чушь;хочу на отдых
чушь;как почистить кэш телеграма на айфоне
чушь;покажи таблицу давления по возрастам
чушь;Какой id у строки, которая мне больше всего подходит по гороскопу?
чушь;найди корреляцию между любовью и деньгами
чушь;как стать успешным
чушь;построй график зависимости цены от спроса в теории
чушь;Найди корреляцию между индексом строки и погодой в Москве
теоретический вопрос;какая модель лучше для текстов: SVM или наивный Байес?
теоретический вопрос;почему в k-NN метрика манхэттена может быть лучше евклида
теоретический вопрос;что такое матрица Якоби в обратном распространении
теоретический вопрос;как работает ДБСКАН? Объясни на пальцах
теоретический вопрос;label smoothing кратко расскажи
теоретический вопрос;LightGBM
теоретический вопрос;перцептрон: что это и в чем его слабое место?
теоретический вопрос;опиши принцип работы нейронных сетей
теоретический вопрос;Зачем мы делим данные на train и test? Нельзя ли учиться и проверяться на одних и тех же данных?
теоретический вопрос;Представь что модель — это студент. Что такое переобучение в этой аналогии?
теоретический вопрос;Как поступить если метрика на валидационной выборке начала ухудшаться, а на обучающей - продолжать улучшаться?
теоретический вопрос;Как работает алгоритм градиентного бустинга? Опишите основные шаги.
теоретический вопрос;Объясни, как будто я 10-летний: что такое обучение с учителем?
теоретический вопрос;target encoding
теоретический вопрос;если у меня в данных пустые значения, их просто удалить или как-то заполнить? что лучше?
теоретический вопрос;Что предпочтительнее для работы с текстами средней длины: BERT или легкая архитектура типа DistilBERT, и почему?
теоретический вопрос;Кажется, модель выучила мусор, а не закономерность. Как это проверить?
теоретический вопрос;Объясни кратко в чем главный плюс случайного леса перед одним деревом?
теоретический вопрос;" Я слышал, что глубокое обучение требует тонны данных. А что такое ""тонна""? 1000? 1000000? Есть ориентир?"
теоретический вопрос;"объясни на пальцах: что такое ""градиент"" и куда он ""спускается""? Без сложных слов, пожалуйста."
теоретический вопрос;А как модель понимает, что ошиблась?
теоретический вопрос;Смотри, у меня accuracy 99%. Это плохо или хорошо?
теоретический вопрос;Сравните методы борьбы с переобучением: Dropout, L1/L2 регуляризация и Early Stopping. В каких случаях что лучше?
теоретический вопрос;Сформулируй, в чем заключается фундаментальное различие между точечной и интервальной оценкой параметров модели.
теоретический вопрос;"Дай определение ""эффективной размерности"" данных в контексте проблемы проклятия размерности"
теоретический вопрос;feature importance 
теоретический вопрос;матрица схожести
теоретический вопрос;Как именно метод главных компонент уменьшает размерность без значительной потери информации?
теоретический вопрос;Опишите алгоритм инференса в латентном размещении Дирихле
теоретический вопрос;порядок действий пайплайна создания модели
теоретический вопрос;сколько по времени примерно занимает дообучение БЯМ 
теоретический вопрос;Опиши процесс оптимизации гиперпараметров: сравни методы Grid Search, Random Search и Bayesian Optimization с точки зрения эффективности и вычислительной стоимости
теоретический вопрос;Раскрой концепцию ансамблирования моделей: объясни, почему объединение слабых моделей может дать сильную, и кратко опишите философию бэггинга, бустинга и стекинга
теоретический вопрос;Как узнать, какой признак в данных самый важный для прогноза?
теоретический вопрос;Утечка данных - как её не допустить при предобработке?
теоретический вопрос;Возможно ли улучшение F1-метрики при ухудшении точности? Примеры ситуаций.
теоретический вопрос;Почему рекомендуется стандартизировать категориальные признаки, и какими способами это делается?
теоретический вопрос;Чем различаются K-means++ и обычный K-means, и какое преимущество даёт инициализация центров кластеров?
теоретический вопрос;Всегда ли помогает увеличение числа скрытых слоев нейронной сети улучшать точность модели?
теоретический вопрос;Каковы особенности адаптивных методов оптимизации типа Adam и RMSprop?
теоретический вопрос;поделись рекомендациями по выбору подходящей меры оценки для случая сильной несбалансированности классов в задаче классификации
теоретический вопрос;моя модель стабильно выдаёт одинаковый результат вне зависимости от вводимых данных. В чём причина и как исправить ситуацию?
теоретический вопрос;к ближайших соседей как работает
теоретический вопрос;В каком порядке лучше настраивать гиперпараметры: сначала оптимизатор, затем количество эпох, или наоборот? И как определить приоритет настроек для достижения максимальной производительности?
теоретический вопрос;за счёт чего сверточные сети такие мощные?
теоретический вопрос;моя keras-модель съедает всю память GPU. Как ограничить аппетиты?
теоретический вопрос; Как понять, что модель плохая, еще до развертывания?
теоретический вопрос;почему в матричных разложениях используют регуляризацию
теоретический вопрос;Капсульные сети - они лучше обычных CNN?
теоретический вопрос;Переобучение - это когда на трейне все отлично, а на новых данных полный провал, да?
анализ данных;Создай новый признак 'profit_margin' как разницу между 'revenue' и 'cost', затем посчитай его среднее значение по каждому менеджеру и отсортируй менеджеров по убыванию этого показателя
анализ данных;построй тепловую карту корреляций, с помощью кластеризации сгруппируй признаки с похожими паттернами корреляций и визуализируй дендрограмму.
анализ данных;Построй график кумулятивной выручки с накоплением с начала года, отметь на нём вертикальными линиями даты запуска основных рекламных кампаний.
анализ данных;разбей клиентов на возрастные группы (18-25, 26-40, 41+), посчитай средний доход для каждой группы, а затем визуализируй это столбчатой диаграммой
анализ данных;Определи самого активного покупателя в каждом городе за прошлый год
анализ данных;Определи долю рынка каждого бренда в нашем датасете
анализ данных;рассчитай вклад каждого товарной категории в общее изменение выручки текущего месяца относительно прошлого 
анализ данных;в колонке с категориями товаров посчитай, сколько у нас всего уникальных значений
анализ данных;Проверь, есть ли связь между стажем сотрудника и количеством выполненных KPI в этом месяце
анализ данных;Рассчитай, какой процент от общей выручки приносит каждая товарная категория
анализ данных;Дай итоговый отчёт по качеству данных: сколько строк, пропусков, дублей, уникальных значений в ключевых колонках.
анализ данных;сделай таблицу для каждого менеджера колво сделок и средняя сумма
